	organism	tem_range
2946	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2947	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2948	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2949	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2950	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2951	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2952	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2953	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2954	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2955	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2956	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2957	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2958	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2959	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2960	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2961	Archangium violaceum (&lt;i&gt;ex&lt;/i&gt; K&uuml;hlwein and Gallwitz 1958) Lang et al. 2015	mesophilic
2962	Archangium minus (Krzemieniewska and Krzemieniewski 1926) Lang et al. 2015	mesophilic
2963	Archangium minus (Krzemieniewska and Krzemieniewski 1926) Lang et al. 2015	mesophilic
2964	Archangium minus (Krzemieniewska and Krzemieniewski 1926) Lang et al. 2015	mesophilic
2965	Archangium minus (Krzemieniewska and Krzemieniewski 1926) Lang et al. 2015	mesophilic
2966	Archangium minus (Krzemieniewska and Krzemieniewski 1926) Lang et al. 2015	mesophilic
2967	Archangium minus (Krzemieniewska and Krzemieniewski 1926) Lang et al. 2015	mesophilic
2968	Archangium minus (Krzemieniewska and Krzemieniewski 1926) Lang et al. 2015	mesophilic
2969	Archangium minus (Krzemieniewska and Krzemieniewski 1926) Lang et al. 2015	mesophilic
2970	Archangium minus (Krzemieniewska and Krzemieniewski 1926) Lang et al. 2015	mesophilic
2971	Archangium minus (Krzemieniewska and Krzemieniewski 1926) Lang et al. 2015	mesophilic
2972	Archangium minus (Krzemieniewska and Krzemieniewski 1926) Lang et al. 2015	mesophilic
2973	Archangium minus (Krzemieniewska and Krzemieniewski 1926) Lang et al. 2015	mesophilic
2974	Archangium minus (Krzemieniewska and Krzemieniewski 1926) Lang et al. 2015	mesophilic
2975	Archangium minus (Krzemieniewska and Krzemieniewski 1926) Lang et al. 2015	mesophilic
2976	Archangium minus (Krzemieniewska and Krzemieniewski 1926) Lang et al. 2015	mesophilic
2977	Archangium minus (Krzemieniewska and Krzemieniewski 1926) Lang et al. 2015	mesophilic
2978	Archangium minus (Krzemieniewska and Krzemieniewski 1926) Lang et al. 2015	mesophilic
2979	Archangium minus (Krzemieniewska and Krzemieniewski 1926) Lang et al. 2015	mesophilic
2980	Archangium minus (Krzemieniewska and Krzemieniewski 1926) Lang et al. 2015	mesophilic
2981	Archangium minus (Krzemieniewska and Krzemieniewski 1926) Lang et al. 2015	mesophilic
2982	Archangium minus (Krzemieniewska and Krzemieniewski 1926) Lang et al. 2015	mesophilic
2983	Cystobacter gracilis Reichenbach 2013	mesophilic
2984	Cystobacter gracilis Reichenbach 2013	mesophilic
2985	Cystobacter gracilis Reichenbach 2013	mesophilic
2986	Cystobacter gracilis Reichenbach 2013	mesophilic
2987	Cystobacter gracilis Reichenbach 2013	mesophilic
2988	Cystobacter gracilis Reichenbach 2013	mesophilic
2989	Cystobacter gracilis Reichenbach 2013	mesophilic
2990	Cystobacter gracilis Reichenbach 2013	mesophilic
2991	Cystobacter gracilis Reichenbach 2013	mesophilic
2992	Cystobacter gracilis Reichenbach 2013	mesophilic
2993	Cystobacter gracilis Reichenbach 2013	mesophilic
2994	Cystobacter gracilis Reichenbach 2013	mesophilic
2995	Cystobacter gracilis Reichenbach 2013	mesophilic
2996	Cystobacter gracilis Reichenbach 2013	mesophilic
2997	Cystobacter gracilis Reichenbach 2013	mesophilic
2998	Cystobacter gracilis Reichenbach 2013	mesophilic
2999	Cystobacter gracilis Reichenbach 2013	mesophilic
3000	Cystobacter gracilis Reichenbach 2013	mesophilic
3001	Cystobacter gracilis Reichenbach 2013	mesophilic
3002	Cystobacter gracilis Reichenbach 2013	mesophilic
3003	Cystobacter gracilis Reichenbach 2013	mesophilic
3004	Cystobacter gracilis Reichenbach 2013	mesophilic
3005	Cystobacter gracilis Reichenbach 2013	mesophilic
3006	Cystobacter gracilis Reichenbach 2013	mesophilic
3007	Cystobacter gracilis Reichenbach 2013	mesophilic
3008	Cystobacter gracilis Reichenbach 2013	mesophilic
3009	Archangium sp.	mesophilic
3010	Cystobacter gracilis Reichenbach 2013	mesophilic
3011	Cystobacter gracilis Reichenbach 2013	mesophilic
3012	Cystobacter gracilis Reichenbach 2013	mesophilic
3013	Cystobacter gracilis Reichenbach 2013	mesophilic
3014	Cystobacter gracilis Reichenbach 2013	mesophilic
3015	Cystobacter gracilis Reichenbach 2013	mesophilic
3016	Cystobacter gracilis Reichenbach 2013	mesophilic
3017	Cystobacter gracilis Reichenbach 2013	mesophilic
3018	Cystobacter gracilis Reichenbach 2013	mesophilic
3019	Cystobacter gracilis Reichenbach 2013	mesophilic
3020	Cystobacter gracilis Reichenbach 2013	mesophilic
3021	Cystobacter gracilis Reichenbach 2013	mesophilic
3022	Cystobacter gracilis Reichenbach 2013	mesophilic
3023	Cystobacter gracilis Reichenbach 2013	mesophilic
3024	Cystobacter gracilis Reichenbach 2013	mesophilic
3025	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3026	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3027	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3028	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3029	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3030	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3031	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3032	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3033	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3034	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3035	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3036	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3037	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3038	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3039	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3040	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3041	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3042	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3043	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3044	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3045	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3046	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3047	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3048	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3049	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3050	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3051	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3052	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3053	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3054	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3055	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3056	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3057	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3058	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3059	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3060	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3061	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3062	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3063	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3064	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3065	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3066	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3067	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3068	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3069	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3070	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3071	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3072	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3073	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3074	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3075	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3076	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3077	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3078	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3079	Cystobacter disciformis Reichenbach et al.	mesophilic
3080	Cystobacter disciformis Reichenbach et al.	mesophilic
3081	Cystobacter disciformis Reichenbach et al.	mesophilic
3082	Cystobacter disciformis Reichenbach et al.	mesophilic
3083	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3084	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3085	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3086	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3087	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3088	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3089	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3090	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3091	Archangium disciforme (Thaxter 1904) Lang et al. 2015	mesophilic
3092	Cystobacter sp.	mesophilic
3093	Cystobacter sp.	mesophilic
3094	Cystobacter sp.	mesophilic
3095	Cystobacter sp.	mesophilic
3096	Cystobacter sp.	mesophilic
3097	Cystobacter sp.	mesophilic
3098	Cystobacter sp.	mesophilic
3099	Cystobacter sp.	mesophilic
3100	Cystobacter sp.	mesophilic
3101	Cystobacter sp.	mesophilic
3102	Cystobacter sp.	mesophilic
3103	Cystobacter sp.	mesophilic
3104	Cystobacter sp.	mesophilic
3105	Cystobacter sp.	mesophilic
3106	Cystobacter sp.	mesophilic
3107	Hyalangium minutum Reichenbach 2007	mesophilic
3108	Hyalangium minutum Reichenbach 2007	mesophilic
3109	Hyalangium minutum Reichenbach 2007	mesophilic
3110	Hyalangium minutum Reichenbach 2007	mesophilic
3111	Hyalangium minutum Reichenbach 2007	mesophilic
3112	Hyalangium minutum Reichenbach 2007	mesophilic
3113	Hyalangium minutum Reichenbach 2007	mesophilic
3114	Hyalangium minutum Reichenbach 2007	mesophilic
3115	Hyalangium minutum Reichenbach 2007	mesophilic
3116	Hyalangium minutum Reichenbach 2007	mesophilic
3117	Hyalangium minutum Reichenbach 2007	mesophilic
3118	Hyalangium minutum Reichenbach 2007	mesophilic
3119	Hyalangium minutum Reichenbach 2007	mesophilic
3120	Hyalangium minutum Reichenbach 2007	mesophilic
3121	Hyalangium minutum Reichenbach 2007	mesophilic
3122	Hyalangium minutum Reichenbach 2007	mesophilic
3123	Hyalangium minutum Reichenbach 2007	mesophilic
3124	Hyalangium minutum Reichenbach 2007	mesophilic
3125	Hyalangium minutum Reichenbach 2007	mesophilic
3126	Hyalangium minutum Reichenbach 2007	mesophilic
3127	Hyalangium minutum Reichenbach 2007	mesophilic
3128	Melittangium lichenicola (Thaxter 1892) McCurdy 1971	mesophilic
3129	Melittangium lichenicola (Thaxter 1892) McCurdy 1971	mesophilic
3130	Melittangium lichenicola (Thaxter 1892) McCurdy 1971	mesophilic
3131	Melittangium lichenicola (Thaxter 1892) McCurdy 1971	mesophilic
3132	Melittangium lichenicola (Thaxter 1892) McCurdy 1971	mesophilic
3133	Melittangium lichenicola (Thaxter 1892) McCurdy 1971	mesophilic
3134	Melittangium lichenicola (Thaxter 1892) McCurdy 1971	mesophilic
3135	Melittangium lichenicola (Thaxter 1892) McCurdy 1971	mesophilic
3136	Melittangium lichenicola (Thaxter 1892) McCurdy 1971	mesophilic
3137	Melittangium lichenicola (Thaxter 1892) McCurdy 1971	mesophilic
3138	Melittangium lichenicola (Thaxter 1892) McCurdy 1971	mesophilic
3139	Melittangium lichenicola (Thaxter 1892) McCurdy 1971	mesophilic
3140	Melittangium lichenicola (Thaxter 1892) McCurdy 1971	mesophilic
3141	Melittangium lichenicola (Thaxter 1892) McCurdy 1971	mesophilic
3142	Melittangium lichenicola (Thaxter 1892) McCurdy 1971	mesophilic
3143	Melittangium lichenicola (Thaxter 1892) McCurdy 1971	mesophilic
3144	Melittangium lichenicola (Thaxter 1892) McCurdy 1971	mesophilic
3145	Melittangium lichenicola (Thaxter 1892) McCurdy 1971	mesophilic
3146	Melittangium lichenicola (Thaxter 1892) McCurdy 1971	mesophilic
3147	Melittangium lichenicola (Thaxter 1892) McCurdy 1971	mesophilic
3148	Melittangium lichenicola (Thaxter 1892) McCurdy 1971	mesophilic
3149	Melittangium lichenicola (Thaxter 1892) McCurdy 1971	mesophilic
3150	Melittangium lichenicola (Thaxter 1892) McCurdy 1971	mesophilic
3151	Melittangium lichenicola (Thaxter 1892) McCurdy 1971	mesophilic
3152	Melittangium lichenicola (Thaxter 1892) McCurdy 1971	mesophilic
3153	Melittangium lichenicola (Thaxter 1892) McCurdy 1971	mesophilic
3154	Melittangium lichenicola (Thaxter 1892) McCurdy 1971	mesophilic
3155	Melittangium lichenicola (Thaxter 1892) McCurdy 1971	mesophilic
3156	Melittangium lichenicola (Thaxter 1892) McCurdy 1971	mesophilic
3157	Melittangium lichenicola (Thaxter 1892) McCurdy 1971	mesophilic
3158	Melittangium lichenicola (Thaxter 1892) McCurdy 1971	mesophilic
3159	Melittangium lichenicola (Thaxter 1892) McCurdy 1971	mesophilic
3160	Melittangium lichenicola (Thaxter 1892) McCurdy 1971	mesophilic
3161	Melittangium lichenicola (Thaxter 1892) McCurdy 1971	mesophilic
3162	Melittangium lichenicola (Thaxter 1892) McCurdy 1971	mesophilic
3163	Melittangium lichenicola (Thaxter 1892) McCurdy 1971	mesophilic
3164	Melittangium lichenicola (Thaxter 1892) McCurdy 1971	mesophilic
3165	Melittangium lichenicola (Thaxter 1892) McCurdy 1971	mesophilic
3166	Melittangium lichenicola (Thaxter 1892) McCurdy 1971	mesophilic
3167	Melittangium lichenicola (Thaxter 1892) McCurdy 1971	mesophilic
3168	Melittangium boletus Jahn 1924	mesophilic
3169	Melittangium boletus Jahn 1924	mesophilic
3170	Melittangium boletus Jahn 1924	mesophilic
3171	Melittangium boletus Jahn 1924	mesophilic
3172	Melittangium boletus Jahn 1924	mesophilic
3173	Melittangium boletus Jahn 1924	mesophilic
3174	Melittangium boletus Jahn 1924	mesophilic
3175	Melittangium alboraceum (Peterson 1959) McCurdy 1971	mesophilic
3176	Melittangium boletus Jahn 1924	mesophilic
3177	Melittangium boletus Jahn 1924	mesophilic
3178	Melittangium boletus Jahn 1924	mesophilic
3179	Melittangium boletus Jahn 1924	mesophilic
3180	Melittangium boletus Jahn 1924	mesophilic
3181	Melittangium boletus Jahn 1924	mesophilic
3182	Stigmatella aurantiaca Berkeley and Curtis 1875	mesophilic
3183	Stigmatella aurantiaca Berkeley and Curtis 1875	mesophilic
3184	Stigmatella aurantiaca Berkeley and Curtis 1875	mesophilic
3185	Stigmatella aurantiaca Berkeley and Curtis 1875	mesophilic
3186	Stigmatella aurantiaca Berkeley and Curtis 1875	mesophilic
3187	Stigmatella aurantiaca Berkeley and Curtis 1875	mesophilic
3188	Stigmatella aurantiaca Berkeley and Curtis 1875	mesophilic
3189	Stigmatella aurantiaca Berkeley and Curtis 1875	mesophilic
3190	Stigmatella aurantiaca Berkeley and Curtis 1875	mesophilic
3191	Stigmatella aurantiaca Berkeley and Curtis 1875	mesophilic
3192	Stigmatella aurantiaca Berkeley and Curtis 1875	mesophilic
3193	Stigmatella aurantiaca Berkeley and Curtis 1875	mesophilic
3194	Stigmatella hybrida Reichenbach 2007	mesophilic
3195	Stigmatella hybrida Reichenbach 2007	mesophilic
3196	Stigmatella hybrida Reichenbach 2007	mesophilic
3197	Stigmatella hybrida Reichenbach 2007	mesophilic
3198	Stigmatella hybrida Reichenbach 2007	mesophilic
3199	Stigmatella hybrida Reichenbach 2007	mesophilic
3200	Stigmatella hybrida Reichenbach 2007	mesophilic
3201	Stigmatella hybrida Reichenbach 2007	mesophilic
3202	Stigmatella hybrida Reichenbach 2007	mesophilic
3203	Stigmatella hybrida Reichenbach 2007	mesophilic
3204	Stigmatella hybrida Reichenbach 2007	mesophilic
3205	Stigmatella hybrida Reichenbach 2007	mesophilic
3206	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3207	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3208	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3209	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3210	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3211	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3212	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3213	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3214	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3215	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3216	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3217	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3218	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3219	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3220	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3221	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3222	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3223	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3224	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3225	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3226	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3227	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3228	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3229	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3230	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3231	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3232	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3233	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3234	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3235	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3236	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3237	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3238	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3239	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3240	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3241	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3242	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3243	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3244	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3245	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3246	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3247	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3248	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3249	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3250	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
3251	Stigmatella erecta (Schroeter 1886) McCurdy 1971	mesophilic
